optimised_on,target_n,lambda_liq,wavg_par_score,wavg_trace_score,imputed_weight_share,sector_L1_pp,rating_L1_pp,maturity_L1_pp,duration_diff,ytm,ytm_diff_pp,top10_issuer_pct,issuer_hhi
par,200,0.015,0.9025348832981919,0.6872418741509889,0.20511104029986862,2.631,0.011,0.269,0.035,5.6172,0.0118,30.0,224.9
par,200,0.02,0.9019386383167334,0.6891917300240825,0.21276101351599813,2.631,0.019,0.1,0.007,5.6185,0.0131,30.0,226.9
par,200,0.025,0.9024432955682797,0.6877458231507994,0.23119351260211526,1.226,0.025,0.108,0.001,5.6131,0.0076,30.0,211.8
par,200,0.03,0.9022492498734521,0.6881343114584806,0.22814337082813801,1.226,0.03,0.112,0.001,5.6132,0.0078,30.02,212.7
par,200,0.04,0.902200829664559,0.6877451449713227,0.2301444205512629,1.226,0.039,0.121,0.001,5.6133,0.0079,30.04,212.1
par,200,0.05,0.9023973032645282,0.6886589089449923,0.2268658430695995,1.226,0.048,0.13,0.001,5.6134,0.008,30.01,213.4
par,200,0.06,0.9024168736308785,0.6890528288993062,0.22660250409350507,1.226,0.057,0.138,0.001,5.6135,0.0081,30.02,213.8
par,200,0.075,0.9022364132194876,0.6897376953126817,0.22584998687318392,2.075,0.049,0.107,0.006,5.6399,0.0344,30.0,224.2
par,200,0.09,0.9008902205364637,0.68330762346881,0.23607636106661237,2.075,0.049,0.173,0.015,5.6441,0.0386,30.0,233.5
par,200,0.1,0.9009541252691902,0.6833849314552221,0.23623782881712624,2.082,0.05,0.174,0.015,5.6457,0.0403,30.01,232.9
par,200,0.125,0.9029058837864472,0.6890420379417812,0.23125073659612294,2.075,0.113,0.156,0.012,5.6439,0.0385,30.0,227.1
par,200,0.15,0.9031453443249021,0.6899210055580822,0.2317168293663926,2.078,0.138,0.158,0.013,5.6469,0.0414,30.0,228.0
par,200,0.175,0.9020921027335205,0.6848836668191511,0.23124325881218952,3.833,1.624,0.349,0.033,5.6347,0.0293,30.0,224.3
par,200,0.2,0.9019658126829174,0.6849898554913711,0.2283691560344141,4.128,1.624,0.367,0.025,5.6411,0.0356,30.0,226.1
par,200,0.25,0.9050393103351899,0.690633359165524,0.2386487992089171,1.819,1.624,0.131,0.013,5.6415,0.0361,30.01,232.3
par,200,0.3,0.903457150467523,0.6838783837949921,0.24753077635859275,2.794,0.297,0.865,0.013,5.6153,0.0099,30.0,212.1
par,200,0.4,0.903380499946842,0.6873585541055509,0.23433521207705862,3.401,0.401,1.031,0.009,5.62,0.0146,30.0,211.0
par,200,0.5,0.9038383772010883,0.6879150030901919,0.23447534776907222,3.972,0.504,1.151,0.007,5.621,0.0155,30.0,211.3
par,200,0.75,0.9056277566711003,0.6884263679189564,0.2485670816007123,5.39,0.767,0.913,0.041,5.632,0.0266,30.0,209.8
par,200,1.0,0.9071964373506349,0.6915916896159217,0.2758905046604757,6.231,0.74,0.517,0.038,5.6595,0.0541,30.01,235.1
par,200,1.5,0.9094132778270849,0.6898234535750122,0.24843075561164923,9.829,1.024,1.194,0.021,5.6628,0.0574,30.0,240.2
par,200,2.0,0.9101183750596359,0.6923531542600253,0.26557408621266304,11.384,1.696,0.751,0.014,5.6689,0.0635,30.0,232.1
trace,50,0.0,0.8771431670569416,0.6695314823345818,0.19568656967072207,14.591,0.186,5.54,0.01,5.5634,0.0421,30.0,267.1
trace,50,0.0025,0.8984169461124781,0.7397039120690763,0.1280000832653555,15.86,0.376,11.279,0.367,5.6711,0.0657,30.0,295.4
trace,50,0.005,0.8984747567160348,0.7378959660264309,0.1836422564813033,12.487,0.005,0.162,0.004,5.6069,0.0014,30.0,264.5
trace,50,0.0075,0.8943792194147661,0.7436107072743853,0.12888547309297263,14.591,0.957,8.004,0.165,5.6056,0.0001,30.0,286.1
trace,50,0.01,0.892918122801877,0.7394332559995809,0.15899594455082658,12.487,0.022,2.075,0.065,5.6095,0.004,30.0,263.1
trace,50,0.015,0.8965929084100679,0.7340911618235447,0.15379129656726517,12.487,0.799,1.025,0.029,5.6279,0.0225,30.0,268.4
trace,50,0.02,0.9004028433396744,0.739246535134228,0.20568631941874954,12.487,0.02,0.15,0.042,5.622,0.0165,30.0,265.7
trace,50,0.025,0.9016942439511869,0.7402871368866273,0.18800000001593983,15.124,0.378,11.556,0.203,5.6764,0.071,30.0,295.7
trace,50,0.03,0.8975234610142943,0.7391468034353336,0.1653074177853324,10.162,0.068,0.338,0.051,5.6231,0.0177,30.0,260.2
trace,50,0.04,0.8966329604229955,0.7410065493359806,0.12064098361922103,10.162,0.053,0.884,0.062,5.6305,0.0251,30.0,266.6
trace,50,0.05,0.8974891185751858,0.7447630264791567,0.12244788759393417,16.43,0.083,7.63,0.034,5.6338,0.0284,30.0,295.5
trace,50,0.06,0.8974369293693566,0.7406221352376302,0.1297069052197748,12.487,0.124,2.075,0.111,5.6271,0.0217,30.0,265.1
trace,50,0.075,0.898968366776493,0.7431184705639303,0.15800000000015071,16.43,0.376,12.83,0.094,5.6864,0.081,30.0,295.4
trace,50,0.09,0.8987155367076333,0.7416150348874722,0.15800000000008788,16.43,0.376,11.556,0.162,5.6988,0.0934,30.0,295.4
trace,50,0.1,0.9010424116301242,0.7403582380486687,0.2117659212075378,12.487,0.593,1.101,0.096,5.63,0.0246,30.0,273.9
trace,50,0.125,0.8967171971104765,0.7379346661378158,0.1424864398297945,12.487,0.964,2.208,0.161,5.6557,0.0503,30.0,264.0
trace,50,0.15,0.8971748043828681,0.7413277700536467,0.10200000000001276,16.814,3.256,11.786,0.151,5.6654,0.0599,30.0,295.8
trace,50,0.175,0.8976401578362001,0.7428782141811058,0.12206341908698208,13.037,0.218,0.485,0.14,5.6559,0.0504,30.0,263.6
trace,50,0.2,0.8941928847486582,0.7411523560299997,0.12021427806840479,10.162,0.475,0.899,0.124,5.6533,0.0478,30.0,261.2
trace,50,0.25,0.9001762162562422,0.7420098142710401,0.1650841731212855,12.487,0.1,0.632,0.108,5.6539,0.0485,30.0,266.8
trace,50,0.3,0.8977695002565867,0.7421808503904851,0.13987121783876497,10.162,0.083,2.267,0.12,5.6386,0.0332,30.0,264.5
trace,50,0.4,0.8941725980102102,0.74348557267466,0.10542327129694878,10.162,0.778,2.42,0.188,5.6478,0.0424,30.0,265.4
trace,50,0.5,0.8968154765823073,0.7450529282572947,0.14349461026261703,15.14,0.376,2.502,0.171,5.6794,0.074,30.0,284.8
