MATURITY,OFFERING_AMT,OFFERING_DATE,COMPLETE_CUSIP,AMOUNT_OUTSTANDING,COUPON
2054-05-01,2486531,2024-11-18,097023DT9,2486531,6.858
2064-05-01,1479504,2024-11-18,097023DU6,1479504,7.008
2032-03-08,1000000,2025-01-02,04010LBH5,1000000,5.8
2031-03-13,998795,2024-12-02,83444MAQ4,998795,5.45
2034-03-23,1647430,2024-12-02,83444MAR2,1647430,5.6
2054-04-30,1247858,2024-12-02,83444MAS0,1226007,5.9
2055-03-15,750000,2025-01-02,29364WBQ0,750000,5.8
2029-11-07,1250000,2025-01-02,345397G49,1250000,5.875
2035-02-07,1250000,2025-01-02,345397G56,1250000,6.5
2030-01-07,1200000,2025-01-02,37045XFB7,1200000,5.35
2035-01-07,1000000,2025-01-02,37045XFC5,1000000,5.9
2031-01-13,900000,2025-01-06,13607PVQ4,900000,5.245
2030-01-09,1250000,2025-01-06,12704PAB4,1250000,5.125
2035-01-09,1250000,2025-01-06,12636YAF9,1250000,5.5
2031-01-16,1100000,2025-01-06,606822DG6,1100000,5.197
2036-01-16,1150000,2025-01-06,606822DH4,1150000,5.574
2035-03-01,850000,2025-01-06,842400JG9,850000,5.45
2031-12-15,750000,2025-01-06,00774MBP9,750000,5.375
2030-01-17,1000000,2025-01-07,05964HBJ3,1000000,5.565
2035-01-17,1000000,2025-01-07,05964HBK0,1000000,6.033
2030-04-15,800000,2025-01-06,11135FCF6,800000,5.05
2032-04-15,1100000,2025-01-06,11135FCG4,1100000,5.2
2030-04-15,800000,2025-01-07,86562MDS6,800000,5.24
2035-01-15,1000000,2025-01-07,86562MDU1,1000000,5.632
2035-01-09,850000,2025-01-06,89236TNB7,850000,5.35
2035-03-15,1000000,2025-01-06,969457CP3,1000000,5.6
2031-04-15,1250000,2025-01-08,80281LAV7,1250000,5.694
2035-06-15,1000000,2025-01-13,72650RBQ4,1000000,5.95
2035-01-16,1250000,2025-01-13,244199BL8,1250000,5.45
2055-01-19,750000,2025-01-13,244199BM6,750000,5.7
2031-01-24,3000000,2025-01-16,95000U3P6,3000000,5.244
2031-01-15,2500000,2025-01-16,61748UAE2,2500000,5.23
2036-01-18,3000000,2025-01-16,61748UAF9,3000000,5.587
2034-08-15,1197999,2024-12-11,16411QAS0,1197999,5.75
2031-01-24,2500000,2025-01-16,46647PEV4,2500000,5.14
2036-01-24,2750000,2025-01-16,46647PEW2,2750000,5.502
2031-01-24,2750000,2025-01-17,06051GML0,2750000,5.162
2036-01-24,3500000,2025-01-17,06051GMM8,3500000,5.511
2031-01-28,2100000,2025-01-21,38141GC36,2100000,5.207
2036-01-28,3000000,2025-01-21,38141GC44,3000000,5.536
2056-01-28,3000000,2025-01-21,38141GC51,3000000,5.734
2031-01-29,1000000,2025-01-22,693475CB9,1000000,5.222
2036-01-29,1750000,2025-01-22,693475CC7,1750000,5.575
2031-02-04,1800000,2025-01-21,78017DAC2,1800000,5.153
2032-01-29,1000000,2025-01-22,09261HBX4,1000000,6
2054-06-15,750000,2024-12-17,68233JCU6,750000,5.55
2030-03-15,1000000,2025-01-30,65339KDJ6,1000000,5.05
2032-03-15,750000,2025-01-30,65339KDK3,750000,5.3
2035-03-15,1000000,2025-01-30,65339KDL1,1000000,5.45
2055-03-15,750000,2025-01-30,65339KDM9,750000,5.9
2032-02-03,1250000,2025-01-30,68389XCZ6,1250000,5.25
2035-08-03,1750000,2025-01-30,68389XDA0,1750000,5.5
2055-08-03,1750000,2025-01-30,68389XDB8,1750000,6
2065-08-03,1000000,2025-01-30,68389XDC6,1000000,6.125
2031-02-14,1000000,2025-01-30,06418GAQ0,1000000,5.13
2030-02-10,800000,2025-01-30,863667BL4,800000,4.85
2035-02-10,1000000,2025-01-30,863667BM2,1000000,5.2
2030-02-07,1000000,2025-02-05,713448GB8,1000000,4.6
2035-02-07,1250000,2025-02-05,713448GC6,1250000,5
2030-02-10,1000000,2025-02-05,459200LG4,1000000,4.8
2032-02-10,850000,2025-02-05,459200LH2,850000,5
2055-02-10,1000000,2025-02-05,459200LK5,1000000,5.7
2030-03-01,1100000,2025-02-06,56585ABK7,1100000,5.15
2035-03-01,900000,2025-02-06,56585ABL5,900000,5.7
2036-05-13,900000,2025-02-06,60687YDJ5,900000,5.422
2031-02-12,1300000,2025-02-05,91159HJT8,1300000,5.046
2036-02-12,1200000,2025-02-05,91159HJU5,1200000,5.424
2030-02-12,1250000,2025-02-10,532457CV8,1250000,4.75
2032-02-12,1000000,2025-02-10,532457CW6,1000000,4.9
