cusip,isin,name,title,balance,valUSD,pctVal,assetCat,issuerCat,maturityDt,annualizedRt,couponKind
12513GBJ7,US12513GBJ76,CDW LLC/CDW FINANCE,CDW LLC / CDW Finance Corp,7217000.0,6582417.85,0.02210147165,DBT,CORP,2031-12-01,3.57,Fixed
478160CM4,US478160CM48,JOHNSON & JOHNSON,Johnson & Johnson,8661000.0,6580608.75,0.022095397321,DBT,CORP,2048-01-15,3.5,Fixed
78081BAU7,US78081BAU70,ROYALTY PHARMA PLC,Royalty Pharma PLC,6670000.0,6619923.64,0.022227403059,DBT,CORP,2035-09-25,5.2,Fixed
92343VGB4,US92343VGB45,VERIZON COMMUNICATIONS,Verizon Communications Inc,36675000.0,25811043.48,0.086664514277,DBT,CORP,2051-03-22,3.55,Fixed
00206RKB7,US00206RKB77,AT&T INC,AT&T Inc,11825000.0,7986846.23,0.02681705409,DBT,CORP,2060-06-01,3.85,Fixed
20030NCL3,US20030NCL38,COMCAST CORP,Comcast Corp,5984000.0,5474927.36,0.018382903454,DBT,CORP,2038-10-15,4.6,Fixed
15135UAX7,US15135UAX72,CENOVUS ENERGY INC,Cenovus Energy Inc,4252000.0,3057956.34,0.010267554703,DBT,CORP,2052-02-15,3.75,Fixed
24703DBT7,US24703DBT72,DELL INT LLC / EMC CORP,Dell International LLC / EMC Corp,6462000.0,6416254.21,0.021543551891,DBT,CORP,2032-10-06,4.75,Fixed
927804GX6,US927804GX64,VIRGINIA ELEC & POWER CO,Virginia Electric and Power Co,11554000.0,11352126.2,0.038116494743,DBT,CORP,2036-03-15,4.95,Fixed
66989HAV0,US66989HAV06,NOVARTIS CAPITAL CORP,Novartis Capital Corp,8252000.0,7954924.7,0.026709872685,DBT,CORP,2034-09-18,4.2,Fixed
674599DL6,US674599DL68,OCCIDENTAL PETROLEUM COR,Occidental Petroleum Corp,7217000.0,7736219.13,0.025975535385,DBT,CORP,2046-03-15,6.6,Fixed
149123BS9,US149123BS95,CATERPILLAR INC,Caterpillar Inc,6511000.0,6515910.6,0.021878163417,DBT,CORP,2041-05-27,5.2,Fixed
037833EW6,US037833EW60,APPLE INC,Apple Inc,6956000.0,6453888.1,0.021669913415,DBT,CORP,2053-05-10,4.85,Fixed
92556VAD8,US92556VAD82,VIATRIS INC,Viatris Inc,8467000.0,7738456.14,0.025983046487,DBT,CORP,2030-06-22,2.7,Fixed
38141GYB4,US38141GYB49,GOLDMAN SACHS GROUP INC,Goldman Sachs Group Inc/The,24322000.0,21896585.84,0.073521125855,DBT,CORP,2032-04-22,2.62,Fixed
05971KAR0,US05971KAR05,BANCO SANTANDER SA,Banco Santander SA,9756000.0,9608626.84,0.032262429785,DBT,CORP,2030-11-06,4.55,Fixed
458140CF5,US458140CF51,INTEL CORP,Intel Corp,8815000.0,8948592.21,0.030046262869,DBT,CORP,2030-02-10,5.13,Fixed
04686JAL5,US04686JAL52,ATHENE HOLDING LTD,Athene Holding Ltd,8177000.0,8074909.34,0.02711273941,DBT,CORP,2055-05-19,6.63,Fixed
29379VCD3,US29379VCD38,ENTERPRISE PRODUCTS OPER,Enterprise Products Operating LLC,8940000.0,9208309.96,0.030918304818,DBT,CORP,2033-01-31,5.35,Fixed
571903BS1,US571903BS13,MARRIOTT INTERNATIONAL,Marriott International Inc/MD,7306000.0,7398401.9,0.024841262523,DBT,CORP,2035-03-15,5.35,Fixed
61747YEH4,US61747YEH45,MORGAN STANLEY,Morgan Stanley,21315000.0,18891878.83,0.063432363897,DBT,CORP,2032-10-20,2.51,Fixed
58013MEF7,US58013MEF77,MCDONALD'S CORP,McDonald's Corp,6338000.0,6906694.8,0.023190280957,DBT,CORP,2038-03-01,6.3,Fixed
65163LAR0,US65163LAR06,NEWMONT / NEWCREST FIN,Newmont Corp / Newcrest Finance Pty Ltd,6860000.0,7066404.37,0.023726530191,DBT,CORP,2034-03-15,5.35,Fixed
437076CS9,US437076CS90,HOME DEPOT INC,Home Depot Inc/The,8128000.0,8095807.43,0.027182907934,DBT,CORP,2032-09-15,4.5,Fixed
90353TAQ3,US90353TAQ31,UBER TECHNOLOGIES INC,Uber Technologies Inc,8615000.0,8022189.79,0.026935725482,DBT,CORP,2054-09-15,5.35,Fixed
743315AS2,US743315AS29,PROGRESSIVE CORP,Progressive Corp/The,5616000.0,4527852.26,0.015202954391,DBT,CORP,2047-04-15,4.13,Fixed
927804GY4,US927804GY48,VIRGINIA ELEC & POWER CO,Virginia Electric and Power Co,6040000.0,5947037.15,0.019968084064,DBT,CORP,2056-03-15,5.7,Fixed
38141GB78,US38141GB789,GOLDMAN SACHS GROUP INC,Goldman Sachs Group Inc/The,24219000.0,23860989.9,0.080116912028,DBT,CORP,2035-10-23,5.02,Fixed
341081GE1,US341081GE16,FLORIDA POWER & LIGHT CO,Florida Power & Light Co,10190000.0,6385575.73,0.021440544217,DBT,CORP,2051-12-04,2.88,Fixed
89115A3G5,US89115A3G59,TORONTO-DOMINION BANK,Toronto-Dominion Bank/The,6459000.0,6609208.57,0.022191425577,DBT,CORP,2032-01-30,5.3,Fixed
30303MAH5,US30303MAH51,META PLATFORMS INC,Meta Platforms Inc,20060000.0,20023302.24,0.067231290521,DBT,CORP,2036-05-15,5.25,Fixed
046353AG3,US046353AG32,ASTRAZENECA PLC,AstraZeneca PLC,5717000.0,4853845.62,0.016297526807,DBT,CORP,2042-09-18,4.0,Fixed
161175BT0,US161175BT05,CHARTER COMM OPT LLC/CAP,Charter Communications Operating LLC / Charter Communications Operating Capital,21115000.0,15650917.31,0.052550341396,DBT,CORP,2050-03-01,4.8,Fixed
58933YBN4,US58933YBN40,MERCK & CO INC,Merck & Co Inc,7099000.0,6433041.39,0.021599917408,DBT,CORP,2063-05-17,5.15,Fixed
