bond_id,cusip,offering_amt,amount_outstanding,offering_date
1321,56585AAF9,1249545000.0,1249545000.0,2011-10-07
1323,126408HU0,950000000.0,950000000.0,2022-07-21
1324,539830BL2,2000000000.0,1326432000.0,2015-11-16
1325,742718GA1,850000000.0,850000000.0,2023-01-23
1326,87264ABX2,992400000.0,992400000.0,2021-04-24
1327,29278NAE3,1000000000.0,1000000000.0,2018-06-05
1328,532457CR7,1250000000.0,1250000000.0,2024-08-12
1329,78409VBQ6,745668000.0,745668000.0,2024-07-24
1330,693475BM6,1500000000.0,1500000000.0,2023-01-19
1331,98389BBB5,800000000.0,800000000.0,2024-02-26
1332,37045XDS2,1250000000.0,1250000000.0,2022-01-06
1333,704326AC1,1200000000.0,1200000000.0,2025-04-08
1334,62954HAJ7,999891000.0,999891000.0,2022-04-14
1335,24703DBT7,1250000000.0,1250000000.0,2025-09-22
1336,03770DAD5,994506000.0,994506000.0,2025-02-03
1337,40434LAJ4,996993000.0,996993000.0,2022-01-24
1338,345370CA6,1800000000.0,1069689000.0,1999-07-09
1339,254687FM3,2000000000.0,2000000000.0,2019-09-03
1340,12189LAA9,750000000.0,750000000.0,2010-05-12
1341,86562MDU1,1000000000.0,1000000000.0,2025-01-07
1342,88732JBB3,1250000000.0,1250000000.0,2011-09-07
1343,231021AX4,1000000000.0,1000000000.0,2024-02-14
1344,110122EG9,1250000000.0,1250000000.0,2024-02-14
1345,25746UDG1,1500000000.0,1500000000.0,2020-03-31
1346,191216DS6,1100000000.0,1100000000.0,2024-05-06
1347,375558BG7,1000000000.0,1000000000.0,2015-09-09
1348,036752BK8,1000000000.0,1000000000.0,2025-09-08
1349,026874DS3,750000000.0,750000000.0,2023-03-23
1350,036752AN3,1100000000.0,1100000000.0,2020-04-30
1351,20826FBM7,1300000000.0,1300000000.0,2024-11-25
1352,26875PAY7,1250000000.0,1250000000.0,2025-06-16
1353,037833ED8,2750000000.0,2750000000.0,2021-02-01
1354,20030NCZ2,1800000000.0,1800000000.0,2019-10-29
1355,89115KAB6,700000000.0,1150000000.0,2025-05-27
1356,91324PFG2,1250000000.0,1250000000.0,2024-07-23
1357,05526DBY0,850000000.0,850000000.0,2024-02-15
1358,78017DAH1,1000000000.0,1000000000.0,2025-03-24
1359,822905AG0,1664464000.0,1664464000.0,2024-09-05
1360,98978VAH6,1150000000.0,1150000000.0,2013-09-25
1361,031162CR9,1250000000.0,2000000000.0,2020-02-18
1362,036752BD4,1200000000.0,1200000000.0,2024-10-22
1364,031162CD0,1415205000.0,1415205000.0,2016-12-09
1365,191216DE7,1300000000.0,1300000000.0,2020-09-14
1366,45866FAP9,1250000000.0,1250000000.0,2020-08-17
1367,437076CD2,1500000000.0,1500000000.0,2020-03-26
1368,60687YDM8,1000000000.0,1000000000.0,2025-06-26
1369,20826FBG0,1000000000.0,1000000000.0,2023-08-08
1371,57636QAZ7,1000000000.0,1000000000.0,2024-05-07
1372,071813DE6,1000000000.0,1000000000.0,2025-11-19
1373,74762EAF9,1000000000.0,1000000000.0,2020-09-14
1375,00206RKB7,1500000000.0,1500000000.0,2020-05-21
1376,02665WGF2,750000000.0,750000000.0,2025-07-08
1377,097023CJ2,850000000.0,850000000.0,2019-04-30
1378,62954HBB3,1000000000.0,1000000000.0,2022-05-11
